 x, y, z,signal
8,0,12.85,112
8,0,12.76,112
8,0,12.35,112
8,0,12.26,112
8,0,12.15,112
8,0,12.03,111
8,0,11.77,109
8,0,11.65,109
8,0,11.41,108
8,0,11.36,106
8,0,10.86,105
8,0,10.69,104
8,0,10.19,104
8,0,10.06,104
8,0,9.89,104
8,0,9.81,103
8,0,9.73,102
8,0,8.8,102
8,0,8.64,102
8,0,8.42,101
8,0,8.23,101
8,0,8.17,101
8,0,8.04,101
8,0,7.94,101
8,0,7.43,101
8,0,7.14,100
8,0,7.09,100
8,0,6.86,100
8,0,6.75,100
8,0,6.58,100
8,0,6.48,100
8,0,6.26,99
8,0,6,98
8,0,5.88,98
8,0,5.72,97
8,0,5.5,97
8,0,5.16,97
8,0,5.07,96
8,0,4.84,96
8,0,4.73,96
8,0,4.42,96
8,0,4.26,96
8,0,3.8,95
8,0,3.61,94
8,0,3.38,94
8,0,2.9,93
8,0,2.59,93
8,0,2.41,93
8,0,2.18,92
8,0,2.17,92
8,0,2.12,92
8,0,1.94,91
8,0,1.87,91
8,0,1.77,91
8,0,1.65,90
8,0,1.07,91
8,0,0.82,90
8,0,0.11,90
8,0,0,90
9,0,0.27,89
9,0,0.4,89
9,0,0.58,88
9,0,0.8,88
9,0,1.03,88
9,0,1.12,88
9,0,1.25,89
9,0,1.51,88
9,0,1.71,89
9,0,1.76,89
9,0,1.78,89
9,0,1.85,89
9,0,2.84,89
9,0,3.03,88
9,0,3.21,89
9,0,3.3,89
9,0,3.38,89
9,0,3.58,89
9,0,3.76,89
9,0,3.96,89
9,0,4.06,89
9,0,4.22,89
9,0,4.54,90
9,0,4.67,91
9,0,4.92,91
9,0,5.04,91
9,0,5.11,91
9,0,5.18,91
9,0,5.49,91
9,0,5.82,91
9,0,5.86,91
9,0,6.01,92
9,0,6.3,92
9,0,6.43,92
9,0,6.53,92
9,0,6.58,92
9,0,6.61,92
9,0,6.88,92
9,0,7.02,92
9,0,7.51,93
9,0,7.55,93
9,0,7.62,94
9,0,7.86,98
